GAME_TITLE,CONSOLE_NUM,DATE_FIRST_RELEASED,GAME_SERIES,ID,CUSTOM,CUSTOM_NAME,REMAKE_RMSTR_RRLSE,REMAKE_RMSTR_RRLSE NAME,REGION,DIRECT_SEQUEL
Boktai 2: Solar Boy Django,08,,,00149,,,,,,
Boktai: The Sun is in Your Hand ,08,,,00150,,,,,,
Bomberman,01,,,00151,,,,,,
Bomberman,07,,,00152,,,,,,
Bomberman 2,07,,,00153,,,,,,
Bomberman 64,03,,,00154,,,,,,
Bomberman 64: The Second Attack,03,,,00155,,,,,,
Bomberman GB,09,,,00156,,,,,,
Bomberman Hero,03,,,00157,,,,,,
Bomberman II,01,,,00158,,,,,,
Bomberman Jetters,04,,,00159,,,,,,
Bomberman Land,05,,,00160,,,,,,
Bomberman Land Touch!,07,,,00161,,,,,,
Bomberman Land Touch! 2,07,,,00162,,,,,,
Bomberman Max 2: Blue Advance,08,,,00163,,,,,,
Bomberman Max 2: Red Advance,08,,,00164,,,,,,
Bomberman Quest,10,,,00165,,,,,,
Bomberman Story DS,07,,,00166,,,,,,
Bomberman Tournament,08,,,00167,,,,,,
Bomberman World,12,,,00168,,,,,,
Bonk's Adventure,09,,,00169,,,,,,
Bonk's Revenge,09,,,00170,,,,,,
Boom Blox,05,,,00172,,,,,,
Bonk’s Adventure,01,,,00171,,,,,,
Boom Blox Bash Party,05,,,00173,,,,,,
Boulder Dash EX,08,,,00174,,,,,,
BoxBoxBoy!,11,201601,BOXBOY,00175,,,,,,
BoxBoy!,11,201501,BOXBOY,00176,,,,,,
BoxBoy! + BoxGirl!,17,201904,BOXBOY,00177,,,,,,
Brain Age 2: More Training in Minutes a Day!,07,200512,BRAIN_AGE,00178,,,,,,
Brain Age Express,47,200904,BRAIN_AGE,00179,,,,,,
Brain Age: Concentration Training,11,201207,BRAIN_AGE,00180,,,,,,
Brain Age: Train Your Brain in Minutes a Day!,07,200505,BRAIN_AGE,00181,,,,,,
Brave Fencer Musashi,12,,,00182,,,,,,
Bravely Default,11,,,00183,,,,,,
Bravely Second: End Layer,11,,,00184,,,,,,
Breath of Fire,02,,,00185,,,,,,
Breath of Fire,08,,,00186,,,,,,
Breath of Fire II,02,,,00187,,,,,,
Breath of Fire II,08,,,00188,,,,,,
Breath of Fire III,12,,,00189,,,,,,
Breath of Fire IV,12,,,00190,,,,,,
BS The Legend of Zelda: Ancient Stone Tablets,36,,ZELDA,00191,,,,,,
Bubble Bobble,09,,,00192,,,,,,
Bubble Bobble Part 2,09,,,00193,,,,,,
Bully: Scholarship Edition,05,,,00194,,,,,,
Burnout,04,,,00195,,,,,,
Burnout 2: Point of Impact,04,,,00196,,,,,,
Buster Bros. Collection,12,,,00197,,,,,,
Bye-Bye BoxBoy!,11,201702,BOXBOY,00198,,,,,,
C: The Contra Adventure,12,,,00199,,,,,,
Cadence of Hyrule,17,,ZELDA,00200,,,,,,
Call of Duty 2: Big Red One,04,,,00201,,,,,,
Call of Duty 3,05,,,00202,,,,,,
Call of Duty 4: Modern Warfare,07,,,00203,,,,,,
Call of Duty: Black Ops,05,,,00204,,,,,,
Call of Duty: Black Ops,07,,,00205,,,,,,
Call of Duty: Finest Hour,04,,,00206,,,,,,
Call of Duty: Modern Warfare — Reflex Edition,05,,,00207,,,,,,
Call of Duty: Modern Warfare 3,05,,,00208,,,,,,
Call of Duty: Modern Warfare 3: Defiance,07,,,00209,,,,,,
Call of Duty: Modern Warfare: Mobilized,07,,,00210,,,,,,
Call of Duty: World at War,05,,,00211,,,,,,
Call of Duty: World at War,07,,,00212,,,,,,
Camping Mama: Outdoor Adventures,07,,,00213,,,,,,
Capcom VS SNK: Pro,12,,,00214,,,,,,
Capcom vs. SNK 2 EO,04,,,00215,,,,,,
Captain Rainbow,05,,,00216,,,,,,
Captain Toad: Treasure Tracker,11,,,00217,,,,,,
Carnival Games,05,,,00218,,,,,,
Carnival Games,07,,,00219,,,,,,
Carnival Games: Wild West 3D,11,,,00220,,,,,,
Castlevania,01,,CASTLEVANIA,00221,,,,,,
Castlevania 64,03,,CASTLEVANIA,00222,,,,,,
Castlevania Advance Collection,15,,CASTLEVANIA,00223,,,,,,
Castlevania Advance Collection,17,,CASTLEVANIA,00224,,,,,,
Castlevania Advance Collection,32,,CASTLEVANIA,00225,,,,,,
Castlevania Advance Collection,40,,CASTLEVANIA,00226,,,,,,
Castlevania Anniversary Collection,15,,CASTLEVANIA,00227,,,,,,
Castlevania Anniversary Collection,17,,CASTLEVANIA,00228,,,,,,
Castlevania Anniversary Collection,32,,CASTLEVANIA,00229,,,,,,
Castlevania Anniversary Collection,40,,CASTLEVANIA,00230,,,,,,
Castlevania Chronicles,12,,CASTLEVANIA,00231,,,,,,
Castlevania II: Belmont's Revenge,09,,CASTLEVANIA,00232,,,,,,
Castlevania II: Simon's Quest,01,,CASTLEVANIA,00233,,,,,,
Castlevania III: Dracula's Curse,01,,CASTLEVANIA,00234,,,,,,
