Title of Game,System,Date (First Released),Series,Version,Regions,Direct Sequel,Developer,Publisher,Genre,Alternative Names
Mega Man Battle Network 3: Blue,NIN - GBA,,,,,,,,,
Mega Man Battle Network 3: White,NIN - GBA,,,,,,,,,
Mega Man Battle Network 4: Blue Moon,NIN - GBA,,,,,,,,,
Mega Man Battle Network 4: Red Sun,NIN - GBA,,,,,,,,,
Mega Man Battle Network 5: Double Team DS,NIN - DS,,,,,,,,,
Mega Man Battle Network 5: Team Colonel,NIN - GBA,,,,,,,,,
Mega Man Battle Network 5: Team Protoman,NIN - GBA,,,,,,,,,
Mega Man Battle Network 6: Cybeast Falzar,NIN - GBA,,,,,,,,,
Mega Man Battle Network 6: Cybeast Gregar,NIN - GBA,,,,,,,,,
Mega Man Battle Network Legacy Collection,MIC - WIN,20230414,Mega Man,Compilation,ww,,Capcom,Capcom,,
Mega Man Battle Network Legacy Collection,NIN - SWI,20230414,Mega Man,Compilation,ww,,Capcom,Capcom,,
Mega Man Battle Network Legacy Collection,SON - PS4,20230414,Mega Man,Compilation,ww,,Capcom,Capcom,,
Mega Man II,NIN - GB,,,,,,,,,
Mega Man III,NIN - GB,,,,,,,,,
Mega Man IV,NIN - GB,,,,,,,,,
Mega Man Legacy Collection,NIN - 3DS,,,,,,,,,
Mega Man Legends,SON - PS1,,,,,,,,,
Mega Man Legends 2,SON - PS1,,,,,,,,,
Mega Man Network Transmission,NIN - GCN,,,,,,,,,
Mega Man Soccer,NIN - SNES,,,,,,,,,
Mega Man Star Force 2: Zerker x Ninja,NIN - DS,,,,,,,,,
Mega Man Star Force 2: Zerker x Saurian,NIN - DS,,,,,,,,,
Mega Man Star Force 3: Black Ace,NIN - DS,,,,,,,,,
Mega Man Star Force 3: Red Joker,NIN - DS,,,,,,,,,
Mega Man Star Force: Dragon,NIN - DS,,,,,,,,,
Mega Man Star Force: Leo,NIN - DS,,,,,,,,,
Mega Man Star Force: Pegasus,NIN - DS,,,,,,,,,
Mega Man V,NIN - GB,,,,,,,,,
Mega Man X,NIN - SNES,,,,,,,,,
Mega Man X Collection,NIN - GCN,,,,,,,,,
Mega Man X: Command Mission,NIN - GCN,,,,,,,,,
Mega Man X2,NIN - SNES,,,,,,,,,
Mega Man X3,NIN - SNES,,,,,,,,,
Mega Man X3,SON - PS1,,,,,,,,,
Mega Man X4,SON - PS1,,,,,,,,,
Mega Man X5,SON - PS1,,,,,,,,,
Mega Man X6,SON - PS1,,,,,,,,,
Mega Man Xtreme,NIN - GBC,,,,,,,,,
Mega Man Xtreme 2,NIN - GBC,,,,,,,,,
Mega Man Zero,NIN - GBA,,,,,,,,,
Mega Man Zero 2,NIN - GBA,,,,,,,,,
Mega Man Zero 3,NIN - GBA,,,,,,,,,
Mega Man Zero 4,NIN - GBA,,,,,,,,,
Mega Man Zero Collection,NIN - DS,,,,,,,,,
Mega Man ZX,NIN - DS,,,,,,,,,
Mega Man ZX Advent,NIN - DS,,,,,,,,,
Mega Man: Battle & Chase,SON - PS1,,,,,,,,,
Mega Man: Dr. Wily's Revenge,NIN - GB,,,,,,,,,
Metal Combat: Falcon's Revenge,NIN - SNES,199312,Battle Clash,,,,,,,
Metal Gear,NIN - NES,,,,,,,,,
Metal Gear Solid,NIN - GBC,,,,,,,,,
Metal Gear Solid,SON - PS1,,,,,,,,,
Metal Gear Solid: Integral,SON - PS1,,,,,,,,,
Metal Gear Solid: Snake Eater 3D,NIN - 3DS,,,,,,,,,
Metal Gear Solid: The Twin Snakes,NIN - GCN,,,,,,,,,
Metal Gear Solid: VR Missions,SON - PS1,,,,,,,,,
Metal Slug 7,NIN - DS,,,,,,,,,
Metal Slug Advance,NIN - GBA,,,,,,,,,
Metal Slug Anthology,NIN - WII,,,,,,,,,
Metal Slug X,SON - PS1,,,,,,,,,
Meteos,NIN - DS,,,,,,,,,
Metroid,NIN - NES,198608,Metroid,,,,,,,
Metroid Dread,NIN - SWI,202110,Metroid,,,,,,,
Metroid Fusion,NIN - GBA,200211,Metroid,,,,,,,
Metroid II: Return of Samus,NIN - GB,199111,Metroid,,,,,,,
Metroid Prime,NIN - GCN,200211,Metroid,,,,,,,
Metroid Prime 2: Echoes,NIN - GCN,200411,Metroid,,,,,,,
Metroid Prime 3: Corruption,NIN - WII,200708,Metroid,,,,,,,
Metroid Prime Hunters,NIN - DS,200603,Metroid,,,,,,,
Metroid Prime Pinball,NIN - DS,200510,Metroid,,,,,,,
Metroid Prime Remastered,NIN - SWI,20230208,Metroid,Remake,ww,,Retro Studios,Nintendo,,
Metroid Prime: Federation Force,NIN - 3DS,201608,Metroid,,,,,,,
Metroid: Other M,NIN - WII,201008,Metroid,,,,,,,
Metroid: Samus Returns,NIN - 3DS,201709,Metroid,,,,,,,
Metroid: Zero Mission,NIN - GBA,200402,Metroid,,,,,,,
Mighty Final Fight,NIN - NES,,,,,,,,,
Mighty Gunvolt,NIN - 3DS,,,,,,,,,
Mighty Gunvolt Burst,NIN - 3DS,,,,,,,,,
Mighty Switch Force!,NIN - 3DS,,,,,,,,,
Mighty Switch Force! 2,NIN - 3DS,,,,,,,,,
Miitopia,NIN - 3DS,,,,,,,,,
Minecraft,NIN - 3DS,,,,,,,,,
Minecraft Legends,MIC - WIN,20230418,Minecraft,,ww,,Mojang Studios/Blackbird Interactive,Xbox Game Studios,,
Minecraft Legends,MIC - XB1,20230418,Minecraft,,ww,,Mojang Studios/Blackbird Interactive,Xbox Game Studios,,
Minecraft Legends,MIC - XSXS,20230418,Minecraft,,ww,,Mojang Studios/Blackbird Interactive,Xbox Game Studios,,
Minecraft Legends,NIN - SWI,20230418,Minecraft,,ww,,Mojang Studios/Blackbird Interactive,Xbox Game Studios,,
Minecraft Legends,SON - PS4,20230418,Minecraft,,ww,,Mojang Studios/Blackbird Interactive,Xbox Game Studios,,
Minecraft Legends,SON - PS5,20230418,Minecraft,,ww,,Mojang Studios/Blackbird Interactive,Xbox Game Studios,,
Mini Mario & Friends: Amiibo Challenge,NIN - 3DS,201601,Mario vs. DK,,,,,,,
Mischief Makers,NIN - N64,,,,,,,,,
Missile Command,NIN - GB,,,,,,,,,
Mobile Golf,NIN - GBC,200105,Mario Sports,,,,,,,
Mole Mania,NIN - GB,,,,,,,,,
Monster Hunter,SON - PS2,200403,Monster Hunter,,,,,,,
Monster Hunter 2,SON - PS2,200602,Monster Hunter,,jp,,,,,
Monster Hunter 3 Ultimate,NIN - 3DS,201112,Monster Hunter,Remaster,,,,,,
Monster Hunter 3 Ultimate,NIN - WIIU,201212,Monster Hunter,Remaster,,,,,,
Monster Hunter 4,NIN - 3DS,201309,Monster Hunter,,jp,,,,,
Monster Hunter 4 Ultimate,NIN - 3DS,201502,Monster Hunter,Remaster,,,,,,
Monster Hunter Freedom,SON - PSP,200512,Monster Hunter,Remake,,,,,,
Monster Hunter Freedom 2,SON - PSP,200702,Monster Hunter,Remake,,,,,,
Monster Hunter Freedom Unite,SON - PSP,200803,Monster Hunter,Remake,,,,,,
Monster Hunter G,NIN - WII,200904,Monster Hunter,Remake,jp,,,,,
Monster Hunter Generations,NIN - 3DS,201511,Monster Hunter,,,,,,,
Monster Hunter Generations Ultimate,NIN - SWI,201708,Monster Hunter,Remaster,,,,,,
Monster Hunter Portable 3rd,SON - PSP,201012,Monster Hunter,,jp,,,,,
Monster Hunter Portable 3rd,SON - PS3,201108,Monster Hunter,,jp,,,,,
Monster Hunter Rise,NIN - SWI,20210326,Monster Hunter,,ww,,Capcom,Capcom,,
Monster Hunter Rise,MIC - WIN,20220112,Monster Hunter,Port,ww,,Capcom,Capcom,,
Monster Hunter Rise,MIC - XB1,20230120,Monster Hunter,Port,ww,,Capcom,Capcom,,
Monster Hunter Rise,MIC - XSXS,20230120,Monster Hunter,Port,ww,,Capcom,Capcom,,
Monster Hunter Rise,SON - PS4,20230120,Monster Hunter,Port,ww,,Capcom,Capcom,,
Monster Hunter Rise,SON - PS5,20230120,Monster Hunter,Port,ww,,Capcom,Capcom,,
Monster Hunter Stories,NIN - 3DS,201610,Monster Hunter,,,,,,,
Monster Hunter Stories 2: Wings of Ruin,MIC - WIN,202107,Monster Hunter,,,,,,,
Monster Hunter Stories 2: Wings of Ruin,NIN - SWI,202107,Monster Hunter,,,,,,,
Monster Hunter Tri,NIN - WII,200908,Monster Hunter,,,,,,,
Monster Hunter World,MIC - XB1,201801,Monster Hunter,,,,,,,
Monster Hunter World,SON - PS4,201801,Monster Hunter,,,,,,,
Monster Hunter World,MIC - WIN,201808,Monster Hunter,,,,,,,
Mortal Kombat,NIN - GB,,,,,,,,,
Mortal Kombat,NIN - SNES,,,,,,,,,
Mortal Kombat 3,NIN - GB,,,,,,,,,
Mortal Kombat 3,NIN - SNES,,,,,,,,,
Mortal Kombat 3,SON - PS1,,,,,,,,,
Mortal Kombat 4,NIN - GBC,,,,,,,,,
Mortal Kombat 4,NIN - N64,,,,,,,,,
Mortal Kombat Advance,NIN - GBA,,,,,,,,,
Mortal Kombat II,NIN - GB,,,,,,,,,
Mortal Kombat II,NIN - SNES,,,,,,,,,
Mortal Kombat Mythologies: Sub-Zero,NIN - N64,,,,,,,,,
Mortal Kombat Trilogy,NIN - N64,,,,,,,,,
Mortal Kombat: Armageddon,NIN - WII,,,,,,,,,
Mortal Kombat: Deadly Alliance,NIN - GBA,,,,,,,,,
Mortal Kombat: Deadly Alliance,NIN - GCN,,,,,,,,,
Mortal Kombat: Deception,NIN - GCN,,,,,,,,,
Mother,NIN - NES,198907,Mother,,,,,,,
Mother 1 + 2,NIN - GBA,200306,Mother,RERELEASE,,,,,,
Mother 3,NIN - GBA,200604,Mother,,,,,,,
Mr. Driller,NIN - GBC,,,,,,,,,
Mr. Driller 2,NIN - GBA,,,,,,,,,
Mr. Driller Drill Spirits,NIN - DS,,,,,,,,,
Ms. Pac-Man,NIN - GB,,,,,,,,,
Ms. Pac-Man,NIN - SNES,,,,,,,,,
Ms. Pac-Man Maze Madness,NIN - GBA,,,,,,,,,
Ms. Pac-Man Maze Madness,NIN - N64,,,,,,,,,
Ms. Pac-Man Maze Madness,SON - PS1,,,,,,,,,
Ms. Pac-Man: Special Color Edition,NIN - GBC,,,,,,,,,
Muramasa: The Demon Blade,NIN - WII,200904,,,,,,,,
Mutant Mudds,NIN - 3DS,,,,,,,,,
Mutant Mudds: Super Challenge,NIN - 3DS,,,,,,,,,
My Nintendo Picross: The Legend of Zelda: Twilight Princess,NIN - 3DS,,Zelda,,,,,,,
My Pokemon Ranch,NIN - WIIW,200803,Pokemon,,,,,,,
Mystery Case Files: Dire Grove,NIN - 3DS,,,,,,,,,
Mystery Case Files: MillionHeir,NIN - DS,,,,,,,,,
Mystery Case Files: Prime Suspects,NIN - DS,,,,,,,,,
Mystery Case Files: Ravenhearst,NIN - 3DS,,,,,,,,,
Mystery Case Files: Ravenhearst,NIN - DS,,,,,,,,,
Mystery Case Files: Return to Ravenhearst,NIN - 3DS,,,,,,,,,
Mystery Case Files: The Malgrave Incident,NIN - WII,,,,,,,,,
Mystery Dungeon: Shiren the Wanderer,NIN - DS,,,,,,,,,
Mystical Ninja 2 Starring Goemon,NIN - N64,,,,,,,,,
Mystical Ninja Starring Goemon,NIN - GB,,,,,,,,,
Mystical Ninja Starring Goemon,NIN - N64,,,,,,,,,
Namco Museum,NIN - GCN,,,,,,,,,
Namco Museum DS,NIN - DS,,,,,,,,,
Nemesis,NIN - GB,,,,,,,,,
NES Open Tournament Golf,NIN - NES,198706,Mario Sports,,,,,,,
NES Play Action Football,NIN - NES,,,,,,,,,
NES Remix,NIN - WIIU,201312,NES Remix,,,,,,,
NES Remix 2,NIN - WIIU,201404,NES Remix,,,,,,,
Nester's Funky Bowling,NIN - VB,,,,,,,,,
New Play Control! Chibi-Robo!,NIN - WII,200906,Chibi-Robo!,Remaster,,,,,,
New Play Control! Donkey Kong Jungle Beat,NIN - WII,200812,Donkey Kong Country,,,,,,,
New Play Control! Mario Power Tennis,NIN - WII,200901,Mario Sports,Remaster,,,,,,
New Play Control! Metroid Prime,NIN - WII,200902,Metroid,,,,,,,
New Play Control! Metroid Prime 2,NIN - WII,200906,Metroid,,,,,,,
New Play Control! Pikmin,NIN - WII,,,,,,,,,
New Play Control! Pikmin 2,NIN - WII,,,,,,,,,
New Pokemon Snap,NIN - SWI,202104,Pokemon,,,,,,,
New Super Luigi U,NIN - WIIU,,Super Mario,,,,,,,
New Super Mario Bros.,NIN - DS,,Super Mario,,,,,,,
New Super Mario Bros. 2,NIN - 3DS,,Super Mario,,,,,,,
New Super Mario Bros. U,NIN - WIIU,,Super Mario,,,,,,,
New Super Mario Bros. U Deluxe,NIN - SWI,,Super Mario,,,,,,,
New Super Mario Bros. Wii,NIN - WII,,Super Mario,,,,,,,
Newer Super Mario Bros. DS,NIN - DS,201712,Mario (Hacks),HACK,,,,,,
Newer Super Mario Bros. Wii,NIN - WII,201306,Mario (Hacks),HACK,,,,,,
Nights: Journey of Dreams,NIN - WII,,,,,,,,,
NightSky,NIN - 3DS,,,,,,,,,
Nine Hours Nine Persons Nine Doors,NIN - DS,,,,,,,,,
Ninja Five-O,NIN - GBA,,,,,,,,,
Ninja Gaiden,NIN - NES,,,,,,,,,
Ninja Gaiden Dragon Sword,NIN - DS,,,,,,,,,
Ninja Gaiden II: The Dark Sword of Chaos,NIN - NES,,,,,,,,,
Ninja Gaiden III: The Ancient Ship of Doom,NIN - NES,,,,,,,,,
Ninja Gaiden Shadow,NIN - GB,,,,,,,,,
Ninja Gaiden Trilogy,NIN - SNES,,,,,,,,,
Ninjabread Man,NIN - WII,,,,,,,,,
Nintendo Campus Challenge 1992,NIN - SNES,,,,,,,,,
Nintendo PowerFest '94,NIN - SNES,,,,,,,,,
Nintendo Puzzle Collection,NIN - GCN,,,,,,,,,
Nintendo World Cup,NIN - GB,,,,,,,,,
Nintendo World Cup,NIN - NES,,,,,,,,,
Nintendogs + Cats: French Bulldog & New Friends,NIN - 3DS,,,,,,,,,
Nintendogs + Cats: Golden Retriever & New Friends,NIN - 3DS,,,,,,,,,
Nintendogs + Cats: Toy Poodle & New Friends,NIN - 3DS,,,,,,,,,
Nintendogs: Best Friends,NIN - DS,,,,,,,,,
Nintendogs: Chihuahua and Friends,NIN - DS,,,,,,,,,
Nintendogs: Dachshund and Friends,NIN - DS,,,,,,,,,
Nintendogs: Dalmatian and Friends,NIN - DS,,,,,,,,,
Nintendogs: Lab and Friends,NIN - DS,,,,,,,,,
No More Heroes,NIN - WII,200712,No More Heroes,,,,,,,
No More Heroes 2: Desperate Struggle,NIN - WII,201001,No More Heroes,,,,,,,
Octopath Traveler II,MIC - WIN,20230224,Octopath,,ww,,Square Enix/Acquire,Square Enix,,
Octopath Traveler II,NIN - SWI,20230224,Octopath,,ww,,Square Enix/Acquire,Square Enix,,
Octopath Traveler II,SON - PS4,20230224,Octopath,,ww,,Square Enix/Acquire,Square Enix,,
Octopath Traveler II,SON - PS5,20230224,Octopath,,ww,,Square Enix/Acquire,Square Enix,,
Odama,NIN - GCN,,,,,,,,,
Oddworld Adventures,NIN - GB,,,,,,,,,
Oddworld: Abe's Exoddus,SON - PS1,,,,,,,,,
Oddworld: Abe's Oddysee,SON - PS1,,,,,,,,,
Oddworld: Munch's Oddysee,NIN - GBA,,,,,,,,,
Ogre Battle 64: Person of Lordly Caliber,NIN - N64,,Ogre Battle,,,,,,,
Ogre Battle Gaiden: Prince of Zenobia,SNK - NGPC,,Ogre Battle,,,,,,,
Ogre Battle: The March of the Black Queen,NIN - SNES,,Ogre Battle,,,,,,,
Ogre Battle: The March of the Black Queen,SEG - SAT,,Ogre Battle,,,,,,,
Ogre Battle: The March of the Black Queen,SON - PS1,,Ogre Battle,,,,,,,
Okaeri! Chibi-Robo! Happy Richie Oosouji!,NIN - DS,200907,Chibi-Robo!,,,,,,,
Okami,NIN - WII,200804,Okami,,,,,,,
Okamiden,NIN - DS,,,,,,,,,
One Piece Odyssey,MIC - WIN,20230113,One Piece,,ww,,ILCA,Bandai Namco,,
One Piece Odyssey,MIC - XSXS,20230113,One Piece,,ww,,ILCA,Bandai Namco,,
One Piece Odyssey,SON - PS4,20230113,One Piece,,ww,,ILCA,Bandai Namco,,
One Piece Odyssey,SON - PS5,20230113,One Piece,,ww,,ILCA,Bandai Namco,,
Onimusha Tactics,NIN - GBA,,,,,,,,,
Operation C,NIN - GB,,,,,,,,,
P.N.03,NIN - GCN,,,,,,,,,
Pac 'n Roll,NIN - DS,,,,,,,,,
Pac-Attack,NIN - GB,,,,,,,,,
Pac-Attack,NIN - SNES,,,,,,,,,
Pac-In-Time,NIN - GB,,,,,,,,,
Pac-In-Time,NIN - SNES,,,,,,,,,
Pac-Man,NIN - GB,,,,,,,,,
Pac-Man,NIN - NES,,,,,,,,,
Pac-Man & Galaga Dimensions,NIN - 3DS,,,,,,,,,
Pac-Man 2: The New Adventures,NIN - SNES,,,,,,,,,
Pac-Man and the Ghostly Adventures,NIN - 3DS,,,,,,,,,
Pac-Man and the Ghostly Adventures 2,NIN - 3DS,,,,,,,,,
Pac-Man Collection,NIN - GBA,,,,,,,,,
Pac-Man Fever,NIN - GCN,,,,,,,,,
Pac-Man Party,NIN - WII,201011,Pac-Man,,,,,,,
Pac-Man Party 3D,NIN - 3DS,,,,,,,,,
Pac-Man Pinball Advance,NIN - GBA,,,,,,,,,
Pac-Man Vs.,NIN - GCN,,,,,,,,,
Pac-Man World,NIN - GBA,,,,,,,,,
Pac-Man World,SON - PS1,,,,,,,,,
Pac-Man World 2,NIN - GBA,,,,,,,,,
Pac-Man World 2,NIN - GCN,,,,,,,,,
Pac-Man World 3,NIN - DS,,,,,,,,,
Pac-Man World 3,NIN - GCN,,,,,,,,,
Pac-Man World Rally,NIN - GCN,,,,,,,,,
Pac-Man: Special Color Edition,NIN - GBC,,,,,,,,,
Pac-Pix,NIN - DS,,,,,,,,,
Pandora's Tower,NIN - WII,201105,,,,,,,,
Panic Bomber,NIN - VB,,,,,,,,,
Paper Mario,NIN - N64,200008,Mario RPGs,,,,,,,
Paper Mario: Color Splash,NIN - WIIU,201610,Mario RPGs,,,,,,,
Paper Mario: Sticker Star,NIN - 3DS,201211,Mario RPGs,,,,,,,
Paper Mario: The Origami King,NIN - SWI,202007,Mario RPGs,,,,,,,
Paper Mario: The Thousand-Year Door,NIN - GCN,200407,Mario RPGs,,,,,,,
PaRappa the Rapper,SON - PS1,,,,,,,,,
Parasite Eve,SON - PS1,,,,,,,,,
Parasite Eve II,SON - PS1,,,,,,,,,
Perfect Dark,NIN - N64,200005,Perfect Dark,,,,,,,
Perfect Dark,NIN - GBC,200008,Perfect Dark,Demake,,,,,,
Perfect Dark,MIC - X360,201003,Perfect Dark,Remaster,,,,,,
Persona,SON - PS1,199609,Persona,,,,,,,
Persona 2: Eternal Punishment,SON - PS1,200006,Persona,,,,,,,
Persona 2: Eternal Punishment,SON - PSP,201205,Persona,,,,,,,
Persona 2: Innocent Sin,SON - PS1,199906,Persona,,,,,,,
Persona 2: Innocent Sin,SON - PSP,201104,Persona,,,,,,,
Persona 3,SON - PS2,200607,Persona,,,,,,,
Persona 3 FES,SON - PS2,200704,Persona,,,,,,,
Persona 3 Portable,SON - PSP,200911,Persona,,,,,,,
Persona 3 Portable,MIC - WIN,20230119,Persona,Port,ww,,Atlus,Sega,,
Persona 3 Portable,MIC - XB1,20230119,Persona,Port,ww,,Atlus,Sega,,
Persona 3 Portable,MIC - XSXS,20230119,Persona,Port,ww,,Atlus,Sega,,
Persona 3 Portable,NIN - SWI,20230119,Persona,Port,ww,,Atlus,Sega,,
Persona 3 Portable,SON - PS4,20230119,Persona,Port,ww,,Atlus,Sega,,
Persona 3: Dancing in Moonlight,SON - PS4,201805,Persona,,,,,,,
Persona 3: Dancing in Moonlight,SON - PSV,201805,Persona,,,,,,,
Persona 4,SON - PS2,200807,Persona,,,,,,,
Persona 4 Arena Ultimax,SON - PS3,201408,Persona,,,,,,,
Persona 4 Arena Ultimax,MIC - X360,201409,Persona,,,,,,,
Persona 4 Arena Ultimax,MIC - WIN,202203,Persona,,,,,,,
Persona 4 Arena Ultimax,NIN - SWI,202203,Persona,,,,,,,
Persona 4 Arena Ultimax,SON - PS4,202203,Persona,,,,,,,
Persona 4 Golden,SON - PSV,201206,Persona,,,,,,,
Persona 4 Golden,MIC - WIN,20200613,Persona,Port,ww,,Atlus,Sega,,
Persona 4 Golden,MIC - XB1,20230119,Persona,Port,ww,,Atlus,Sega,,
Persona 4 Golden,MIC - XSXS,20230119,Persona,Port,ww,,Atlus,Sega,,
Persona 4 Golden,NIN - SWI,20230119,Persona,Port,ww,,Atlus,Sega,,
Persona 4 Golden,SON - PS4,20230119,Persona,Port,ww,,Atlus,Sega,,
Persona 4: Dancing All Night,SON - PSV,201506,Persona,,,,,,,
Persona 4: Dancing All Night,SON - PS4,201805,Persona,,,,,,,
Persona 5,SON - PS3,201609,Persona,,,,,,,
Persona 5,SON - PS4,201609,Persona,,,,,,,
Persona 5 Royal,SON - PS4,201910,Persona,Remaster,,,,,,
Persona 5 Royal,MIC - WIN,202210,Persona,Remaster,,,,,,
Persona 5 Royal,MIC - XB1,202210,Persona,Remaster,,,,,,
Persona 5 Royal,MIC - XSXS,202210,Persona,Remaster,,,,,,
Persona 5 Royal,NIN - SWI,202210,Persona,Remaster,,,,,,
Persona 5 Royal,SON - PS5,202210,Persona,Remaster,,,,,,
Persona 5 Strikers,NIN - SWI,202002,Persona,,,,,,,
Persona 5 Strikers,SON - PS4,202002,Persona,,,,,,,
Persona 5 Strikers,MIC - WIN,202102,Persona,,,,,,,
Persona 5: Dancing in Starlight,SON - PS4,201805,Persona,,,,,,,
Persona 5: Dancing in Starlight,SON - PSV,201805,Persona,,,,,,,
Persona Q: Shadow of the Labyrinth,NIN - 3DS,201406,Persona,,,,,,,
Persona Q2: New Cinema Labyrinth,NIN - 3DS,201811,Persona,,,,,,,
Personal Trainer: Cooking,NIN - DS,,,,,,,,,
Personal Trainer: Math,NIN - DS,,,,,,,,,
Personal Trainer: Walking,NIN - DS,,,,,,,,,
Phantasy Star Collection,NIN - GBA,,,,,,,,,
Phantasy Star Online Episode I & II,NIN - GCN,,,,,,,,,
Phantasy Star Online Episode III: C.A.R.D. Revolution,NIN - GCN,,,,,,,,,
Phantasy Star Zero,NIN - DS,,,,,,,,,
Phoenix Wright: Ace Attorney,NIN - DS,,Ace Attorney,,,,,,,
Phoenix Wright: Ace Attorney - Dual Destinies,NIN - 3DS,,Ace Attorney,,,,,,,
Phoenix Wright: Ace Attorney - Justice for All,NIN - DS,200610,Ace Attorney,,,,,,,
Phoenix Wright: Ace Attorney - Spirit of Justice,NIN - 3DS,,Ace Attorney,,,,,,,
Phoenix Wright: Ace Attorney - Trials and Tribulations,NIN - DS,,Ace Attorney,,,,,,,
Phoenix Wright: Ace Attorney Trilogy,NIN - 3DS,,Ace Attorney,,,,,,,
Picross 2,NIN - GB,,,,,,,,,
Picross 3D,NIN - DS,,,,,,,,,
Picross 3D: Round 2,NIN - 3DS,,,,,,,,,
Picross DS,NIN - DS,20070125,Picross (Jupiter),,ww,,Jupiter,Nintendo,,
Picross e,NIN - 3DS,20110727,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross e2,NIN - 3DS,20111228,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross e3,NIN - 3DS,20130612,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross e4,NIN - 3DS,20131120,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross e5,NIN - 3DS,20140611,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross e6,NIN - 3DS,20141224,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross e7,NIN - 3DS,20160427,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross e8,NIN - 3DS,20171220,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross e9,NIN - 3DS,20180805,Picross (Jupiter),,jp,,Jupiter,Jupiter,,
Picross Lord of the Nazarick,NIN - SWI,20190725,Picross (Jupiter)/OVERLORD,,ww,,Jupiter,Jupiter,,
Picross NP Vol. 1,NIN - SNES,19990401,Picross (Jupiter),,jp,,Jupiter,Nintendo,,
Picross NP Vol. 2,NIN - SNES,19990601,Picross (Jupiter),,jp,,Jupiter,Nintendo,,
Picross NP Vol. 3,NIN - SNES,19990801,Picross (Jupiter),,jp,,Jupiter,Nintendo,,
Picross NP Vol. 4,NIN - SNES,19991001,Picross (Jupiter),,jp,,Jupiter,Nintendo,,
Picross NP Vol. 5,NIN - SNES,19991201,Picross (Jupiter),,jp,,Jupiter,Nintendo,,
Picross NP Vol. 6,NIN - SNES,20000201,Picross (Jupiter),,jp,,Jupiter,Nintendo,,
Picross NP Vol. 7,NIN - SNES,20000401,Picross (Jupiter),,jp,,Jupiter,Nintendo,,
Picross NP Vol. 8,NIN - SNES,20000601,Picross (Jupiter),,jp,,Jupiter,Nintendo,,
Picross S,NIN - SWI,20170928,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross S Genesis & Master System Edition,NIN - SWI,20210805,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross S2,NIN - SWI,20180802,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross S3,NIN - SWI,20190425,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross S4,NIN - SWI,20200423,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross S5,NIN - SWI,20201126,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross S6,NIN - SWI,20210422,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross S7,NIN - SWI,20211223,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Picross S8,NIN - SWI,20220929,Picross (Jupiter),,ww,,Jupiter,Jupiter,,
Pikmin,NIN - GCN,,,,,,,,,
Pikmin 2,NIN - GCN,,,,,,,,,
Pikmin 4,NIN - SWI,20230721,PIKMIN,,ww,,Nintendo EPD,Nintendo,,
Pilotwings,NIN - SNES,,,,,,,,,
Pilotwings 64,NIN - N64,,,,,,,,,
Pilotwings Resort,NIN - 3DS,,,,,,,,,
Pinball,NIN - NES,,,,,,,,,
Pitfall: The Big Adventure,NIN - WII,,,,,,,,,
Pitfall: The Lost Expedition,NIN - GBA,,,,,,,,,
Pitfall: The Mayan Adventure,NIN - GBA,,,,,,,,,
Pitfall: The Mayan Adventure,NIN - SNES,,,,,,,,,
Pizza Tower,MIC - WIN,20230126,,,ww,,Tour De Pizza,Tour De Pizza,,
Plants vs. Zombies,NIN - DS,,,,,,,,,
Pocket Bomberman,NIN - GBC,,,,,,,,,
Pocket Monsters Stadium,NIN - N64,199808,Pokemon,,jp,,,,,
Pokemon Alpha Sapphire,NIN - 3DS,201411,Pokemon,Remake,,,,,,
Pokemon Art Academy,NIN - 3DS,201406,Art Academy,,,,,,,
Pokemon Battle Revolution,NIN - WII,200612,Pokemon,,,,,,,
Pokemon Battle Trozei!,NIN - 3DS,201403,Pokemon,,,,,,,
Pokemon Black,NIN - DS,201009,Pokemon,,,,,,,
Pokemon Black 2,NIN - DS,201206,Pokemon,,,Pokemon Black,,,,
Pokemon Blue,NIN - GB,199602,Pokemon,,,,,,,
Pokemon Box: Ruby and Sapphire,NIN - GCN,200305,Pokemon,,,,,,,
Pokemon Brilliant Diamond,NIN - SWI,202111,Pokemon,Remake,,,,,,
Pokemon Card GB2: Great Rocket-Dan Sanjō!,NIN - GBC,200103,Pokemon,,jp,,,,,
Pokemon Channel,NIN - GCN,200307,Pokemon,,,,,,,
Pokemon Colosseum,NIN - GCN,200311,Pokemon,,,,,,,
Pokemon Conquest,NIN - DS,201203,Pokemon,,,,,,,
